834.0000 448.0000 0.0000 0.0000
835.0000 440.0000 0.0000 0.0000
848.0000 443.0000 0.0000 0.0000
835.7337 440.5552 0.0000 0.0000
832.0000 444.0000 0.0000 0.0000
851.0000 443.0000 0.0000 0.0000
826.0000 445.0000 0.0000 0.0000
846.0000 443.0000 0.0000 0.0000
834.0176 444.6850 0.0000 0.0000
840.6800 443.0715 0.0000 0.0000
826.0000 445.0000 0.0000 0.0000
834.0000 443.0000 0.0000 0.0000
834.0000 452.0000 0.0000 0.0000
834.8756 442.6201 0.0000 0.0000
834.6946 442.6529 0.0000 0.0000
836.0000 443.0000 0.0000 0.0000
834.0000 441.0000 0.0000 0.0000
853.0000 443.0000 0.0000 0.0000
834.0000 429.0000 0.0000 0.0000
826.0000 445.0000 0.0000 0.0000
838.0000 443.0000 0.0000 0.0000
838.0000 442.0000 0.0000 0.0000
826.0000 445.0000 0.0000 0.0000
834.0000 456.0000 0.0000 0.0000
834.0000 433.0000 0.0000 0.0000
830.0000 444.0000 0.0000 0.0000
827.0000 445.0000 0.0000 0.0000
844.0000 442.0000 0.0000 0.0000
834.0000 437.0000 0.0000 0.0000
834.0000 426.0000 0.0000 0.0000
829.0000 444.0000 0.0000 0.0000
834.0000 459.0000 0.0000 0.0000
826.0000 445.0000 0.0000 0.0000
840.0000 442.0000 0.0000 0.0000
842.0000 442.0000 0.0000 0.0000
849.0000 443.0000 0.0000 0.0000
826.0000 445.0000 0.0000 0.0000
834.9039 439.6602 0.0000 0.0000
834.0000 463.0000 0.0000 0.0000
